image_path,class,file_name
data\raw\Early_blight\129b1c3a-4f7d-4c45-ae03-2a4c3eb17dd4___RS_Early.B 7413.JPG,Early_blight,129b1c3a-4f7d-4c45-ae03-2a4c3eb17dd4___RS_Early.B 7413.JPG
data\raw\Nematode\IMG_0192.JPG,Nematode,IMG_0192.JPG
data\raw\Late_blight\09287918-9f73-4707-823f-f4331f5114a3___RS_LB 2604.JPG,Late_blight,09287918-9f73-4707-823f-f4331f5114a3___RS_LB 2604.JPG
data\raw\Bacteria\IMG_0356.JPG,Bacteria,IMG_0356.JPG
data\raw\Phytopthora\IMG_0393.JPG,Phytopthora,IMG_0393.JPG
data\raw\Pest\IMG_8296.JPG,Pest,IMG_8296.JPG
data\raw\Bacteria\20230815_114546.jpg,Bacteria,20230815_114546.jpg
data\raw\Healthy\20230815_122255.jpg,Healthy,20230815_122255.jpg
data\raw\Early_blight\6269c9ec-ef8a-49b5-ab1a-451565529c38___RS_Early.B 7166.JPG,Early_blight,6269c9ec-ef8a-49b5-ab1a-451565529c38___RS_Early.B 7166.JPG
data\raw\Fungi\1692334247349.jpg,Fungi,1692334247349.jpg
data\raw\Healthy\20230712_130724.jpg,Healthy,20230712_130724.jpg
data\raw\Bacteria\20230816_142135.jpg,Bacteria,20230816_142135.jpg
data\raw\Phytopthora\20230802_124902.jpg,Phytopthora,20230802_124902.jpg
data\raw\Virus\20230712_133356.jpg,Virus,20230712_133356.jpg
data\raw\Pest\IMG_20230816_134419~2.jpg,Pest,IMG_20230816_134419~2.jpg
data\raw\Late_blight\050b6d37-4056-4c6c-8359-d7823a488531___RS_LB 3944.JPG,Late_blight,050b6d37-4056-4c6c-8359-d7823a488531___RS_LB 3944.JPG
data\raw\Pest\IMG_0299.JPG,Pest,IMG_0299.JPG
data\raw\Phytopthora\IMG_0255 - Copy.JPG,Phytopthora,IMG_0255 - Copy.JPG
data\raw\Late_blight\12ce2ab1-14c4-4960-81d4-e6ae776510e9___RS_LB 2880.JPG,Late_blight,12ce2ab1-14c4-4960-81d4-e6ae776510e9___RS_LB 2880.JPG
data\raw\Late_blight\cba4be0b-2554-4a9e-8dd0-94cbb2467388___RS_LB 3335.JPG,Late_blight,cba4be0b-2554-4a9e-8dd0-94cbb2467388___RS_LB 3335.JPG
data\raw\Early_blight\df7e4d39-fb74-4e6d-9d32-04d7d2165135___RS_Early.B 6700.JPG,Early_blight,df7e4d39-fb74-4e6d-9d32-04d7d2165135___RS_Early.B 6700.JPG
data\raw\Fungi\IMG_0257.JPG,Fungi,IMG_0257.JPG
data\raw\Fungi\20230802_110812.jpg,Fungi,20230802_110812.jpg
data\raw\Early_blight\e3007682-ad4b-4a62-b64d-ebb0c4537077___RS_Early.B 7772.JPG,Early_blight,e3007682-ad4b-4a62-b64d-ebb0c4537077___RS_Early.B 7772.JPG
data\raw\Bacteria\20230815_114927.jpg,Bacteria,20230815_114927.jpg
data\raw\Pest\IMG_9553.JPG,Pest,IMG_9553.JPG
data\raw\Late_blight\f5ad9b49-ea3a-46c0-8a54-d4e0aa76eda4___RS_LB 4379.JPG,Late_blight,f5ad9b49-ea3a-46c0-8a54-d4e0aa76eda4___RS_LB 4379.JPG
data\raw\Pest\IMG_4741.JPG,Pest,IMG_4741.JPG
data\raw\Late_blight\59dcc102-c55f-4a13-991e-8c53db4ce76d___RS_LB 5189.JPG,Late_blight,59dcc102-c55f-4a13-991e-8c53db4ce76d___RS_LB 5189.JPG
data\raw\Virus\20230815_121209.jpg,Virus,20230815_121209.jpg
data\raw\Early_blight\9a157bfb-073a-46b2-95c6-16792e30e03f___RS_Early.B 7409.JPG,Early_blight,9a157bfb-073a-46b2-95c6-16792e30e03f___RS_Early.B 7409.JPG
data\raw\Bacteria\IMG_1114.JPG,Bacteria,IMG_1114.JPG
data\raw\Early_blight\2e88d4ed-b11b-4123-9e4b-f3c02a65ad39___RS_Early.B 9180.JPG,Early_blight,2e88d4ed-b11b-4123-9e4b-f3c02a65ad39___RS_Early.B 9180.JPG
data\raw\Bacteria\IMG_1242.JPG,Bacteria,IMG_1242.JPG
